rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,wrist_3_joint],position,velocity,effort
1584454447053007969,,1569414,,1584454447,52500151,'',"[shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint,","[1.404698371887207, -1.17180043855776, 2.4830822944641113, -2.862887207661764, -1.5669940153705042, 2.720658540725708]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.4119873344898224, -2.673340082168579, -1.0581345558166504, -0.5001984238624573, 0.1166381984949112, -0.011215210892260075]"
1584454447164862846,,1569428,,1584454447,164457278,'',"[shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint,","[1.404686450958252, -1.1718605200396937, 2.4830822944641113, -2.862899128590719, -1.5669940153705042, 2.720658540725708]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.3982544243335724, -2.700805902481079, -1.051409125328064, -0.5091705918312073, 0.1099090725183487, -0.008972168900072575]"
1584454447276734815,,1569442,,1584454447,276392415,'',"[shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint,","[1.4047223329544067, -1.1718123594867151, 2.4830822944641113, -2.862887207661764, -1.5670297781573694, 2.720646381378174]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.4165649712085724, -2.664184808731079, -1.040200114250183, -0.5069275498390198, 0.1188812404870987, -0.006729126907885075]"
1584454447388886676,,1569456,,1584454447,388447896,'',"[shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint,","[1.404686450958252, -1.1718247572528284, 2.4831063747406006, -2.862899128590719, -1.5669940153705042, 2.7206344604492188]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.4119873344898224, -2.673340082168579, -1.0491673946380615, -0.5114136338233948, 0.1390686184167862, -0.004486084450036287]"
1584454447500809650,,1569470,,1584454447,500404183,'',"[shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint,","[1.4047104120254517, -1.1718485991107386, 2.4830944538116455, -2.862875286732809, -1.5669940153705042, 2.7206225395202637]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.4119873344898224, -2.700805902481079, -1.0603764057159424, -0.5046845078468323, 0.1076660305261612, -0.004486084450036287]"
1584454447612860673,,1569484,,1584454447,612426272,'',"[shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint,","[1.404698371887207, -1.171788517628805, 2.483058452606201, -2.862887207661764, -1.5670297781573694, 2.7206108570098877]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.4165649712085724, -2.682495355606079, -1.053650975227356, -0.5024414658546448, 0.1031799390912056, -0.0022430422250181437]"
1584454447725084540,,1569498,,1584454447,724510698,'',"[shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint,","[1.4047104120254517, -1.1718247572528284, 2.4830703735351562, -2.862911049519674, -1.5670178572284144, 2.7206225395202637]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.4074096977710724, -2.655029535293579, -1.0357165336608887, -0.5136566758155823, 0.1390686184167862, -0.004486084450036287]"
1584454447836805937,,1569512,,1584454447,836427390,'',"[shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint,","[1.4047223329544067, -1.1718247572528284, 2.4830822944641113, -2.862887207661764, -1.5669940153705042, 2.720646381378174]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.4165649712085724, -2.659607172012329, -1.055892825126648, -0.5024414658546448, 0.1368255764245987, -0.004486084450036287]"
1584454447948849887,,1569526,,1584454447,948419122,'',"[shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint,","[1.4047223329544067, -1.1718485991107386, 2.483058452606201, -2.8629348913775843, -1.5669940153705042, 2.7206225395202637]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.3982544243335724, -2.719116449356079, -1.0603764057159424, -0.5024414658546448, 0.1031799390912056, -0.004486084450036287]"
1584454448060822313,,1569540,,1584454448,60426634,'',"[shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint,","[1.4047104120254517, -1.1718247572528284, 2.4830822944641113, -2.8628514448748987, -1.5669940153705042, 2.720646381378174]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.3982544243335724, -2.691650629043579, -1.0491673946380615, -0.5114136338233948, 0.1121521145105362, -0.006729126907885075]"
